BIC_Code,BIC_Description,ANZSIC_Code,ANZSIC_Description
A011110,Ornamental plant growing,111,Nursery Production (Under Cover)
A011120,Seedling growing nec,111,Nursery Production (Under Cover)
A011210,Fruit tree nursery operation,112,Nursery Production (Outdoors)
A011220,"Nursery (flower, shrubs, ornamental trees) operation",112,Nursery Production (Outdoors)
A011230,Vine stock nursery operation,112,Nursery Production (Outdoors)
A011310,Turf growing,113,Turf Growing
A011410,Flower growing,114,Floriculture Production (Under Cover)
A011420,Seed growing - flower,114,Floriculture Production (Under Cover)
A012110,Mushroom growing,121,Mushroom Growing
A012210,Herb growing,122,Vegetable Growing (Under Cover)
A012220,Seed growing - vegetable,122,Vegetable Growing (Under Cover)
A012230,Tomato growing,122,Vegetable Growing (Under Cover)
A012240,Vegetable seed growing,122,Vegetable Growing (Under Cover)
A012310,Melon growing,123,Vegetable Growing (Outdoors)
A012320,Onion growing,123,Vegetable Growing (Outdoors)
A012330,Potato growing,123,Vegetable Growing (Outdoors)
A012340,"Vegetable growing - except dry field peas, beans and soybeans",123,Vegetable Growing (Outdoors)
A013110,Grape growing,131,Grape Growing
A013120,Vineyard operation,131,Grape Growing
A013210,Kiwifruit growing,132,Kiwifruit Growing
A013310,Berryfruit growing,133,Berry Fruit Growing
A013320,Strawberry growing,133,Berry Fruit Growing
A013410,Apple growing,134,Apple and Pear Growing
A013420,Pear growing,134,Apple and Pear Growing
A013430,Quince growing,134,Apple and Pear Growing
A013510,Stone fruit growing,135,Stone Fruit Growing
A013610,Citrus fruit growing,136,Citrus Fruit Growing
A013710,Olive growing,137,Olive Growing
A013910,Almond growing,139,Other Fruit and Tree Nut Growing
A013920,Avocado growing,139,Other Fruit and Tree Nut Growing
A013930,Fig growing,139,Other Fruit and Tree Nut Growing
A013935,Fruit growing nec,139,Other Fruit and Tree Nut Growing
A013940,Macadamia nut growing,139,Other Fruit and Tree Nut Growing
A013950,Mango growing,139,Other Fruit and Tree Nut Growing
A013960,Passionfruit growing,139,Other Fruit and Tree Nut Growing
A013970,Pecan nut growing,139,Other Fruit and Tree Nut Growing
A013975,Tree nut growing nec,139,Other Fruit and Tree Nut Growing
A013980,Walnut growing,139,Other Fruit and Tree Nut Growing
A014110,Sheep farming,141,Sheep Farming (Specialised)
A014120,Wool growing,141,Sheep Farming (Specialised)
A014210,Agistment service - other than horses,142,Beef Cattle Farming (Specialised)
A014220,Beef cattle farming,142,Beef Cattle Farming (Specialised)
A014230,Stud beef cattle breeding or farming,142,Beef Cattle Farming (Specialised)
A014410,Beef cattle and sheep farming,144,Sheep-Beef Cattle Farming
A014420,Sheep and beef cattle farming,144,Sheep-Beef Cattle Farming
A014510,Beef cattle farming and cereal grain growing,145,Grain-Sheep or Grain-Beef Cattle Farming
A014520,Sheep farming and cereal grain growing,145,Grain-Sheep or Grain-Beef Cattle Farming
A014910,Cereal grain growing,149,Other Grain Growing
A014920,"Grain, cereal growing",149,Other Grain Growing
A014930,Maize growing,149,Other Grain Growing
A014940,Oat growing,149,Other Grain Growing
A014950,Oilseed growing,149,Other Grain Growing
A014960,Safflower growing,149,Other Grain Growing
A014970,Sorghum growing - except forage sorghum,149,Other Grain Growing
A014980,Soybean growing,149,Other Grain Growing
A014985,Sunflower growing,149,Other Grain Growing
A014990,Wheat growing,149,Other Grain Growing
A015905,Crop growing nec,159,Other Crop Growing n.e.c.
A015910,Drug plant growing,159,Other Crop Growing n.e.c.
A015920,Fodder growing,159,Other Crop Growing n.e.c.
A015930,Ginger growing,159,Other Crop Growing n.e.c.
A015940,Hay growing,159,Other Crop Growing n.e.c.
A015950,Hop growing,159,Other Crop Growing n.e.c.
A015960,Lavender growing,159,Other Crop Growing n.e.c.
A015970,Lucerne growing,159,Other Crop Growing n.e.c.
A015980,Seed growing nec,159,Other Crop Growing n.e.c.
A015985,Tobacco farming,159,Other Crop Growing n.e.c.
A015990,Vegetable growing - for fodder,159,Other Crop Growing n.e.c.
A016010,Dairy cattle farming,160,Dairy Cattle Farming
A016020,Milk production - dairy cattle,160,Dairy Cattle Farming
A016030,Stud dairy cattle breeding or farming,160,Dairy Cattle Farming
A017110,Chicken farming - for meat,171,Poultry Farming (Meat)
A017120,Duck farming,171,Poultry Farming (Meat)
A017130,Game bird farming,171,Poultry Farming (Meat)
A017140,Goose farming,171,Poultry Farming (Meat)
A017150,Poultry farming - for meat,171,Poultry Farming (Meat)
A017160,Poultry hatchery operation - meat breeds,171,Poultry Farming (Meat)
A017170,Turkey farming,171,Poultry Farming (Meat)
A017210,Egg farm operation,172,Poultry Farming (Eggs)
A017220,Poultry farming - for eggs,172,Poultry Farming (Eggs)
A017230,Poultry hatchery operation - egg breeds,172,Poultry Farming (Eggs)
A018010,"Deer breeding, farming",180,Deer Farming
A019110,Agistment service - horses,191,Horse Farming
A019120,Horse breeding,191,Horse Farming
A019125,Horse farming nec,191,Horse Farming
A019130,Stud farm operation - horses,191,Horse Farming
A019210,Pig farming,192,Pig Farming
A019310,Apiarist,193,Beekeeping
A019320,Beekeeping,193,Beekeeping
A019910,Bird breeding - except poultry or game birds,199,Other Livestock Farming n.e.c.
A019920,Butterfly breeding,199,Other Livestock Farming n.e.c.
A019930,Cat breeding,199,Other Livestock Farming n.e.c.
A019940,Dog breeding,199,Other Livestock Farming n.e.c.
A019950,Fur skin animal farming,199,Other Livestock Farming n.e.c.
A019960,Goat farming,199,Other Livestock Farming n.e.c.
A019970,Livestock raising nec,199,Other Livestock Farming n.e.c.
A019975,Mixed livestock farming nec,199,Other Livestock Farming n.e.c.
A019980,Pet breeding,199,Other Livestock Farming n.e.c.
A019990,Rabbit farming,199,Other Livestock Farming n.e.c.
A020110,Aquaculture (offshore),201,Offshore Longline and Rack Aquaculture
A020120,Mussel farming,201,Offshore Longline and Rack Aquaculture
A020130,Oyster farming,201,Offshore Longline and Rack Aquaculture
A020210,Salmon farming (offshore),202,Offshore Caged Aquaculture
A020310,Crayfish breeding and farming,203,Onshore Aquaculture
A020320,Fish breeding or farming (onshore),203,Onshore Aquaculture
A020330,Fish hatchery operation,203,Onshore Aquaculture
A020340,Lobster farming,203,Onshore Aquaculture
A030110,Forest product gathering,301,Forestry
A030120,Forestry,301,Forestry
A030130,Sphagnum moss processing,301,Forestry
A030210,Firewood cutting - forest,302,Logging
A030220,Logging (including poles),302,Logging
A030230,Pulpwood cutting - forest,302,Logging
A030240,Timber hewing - forest,302,Logging
A030250,Tree cutting or felling - forest,302,Logging
A041105,Crab catching,411,Rock Lobster and Crab Potting
A041110,"Crayfishing, lobster fishing",411,Rock Lobster and Crab Potting
A041120,Lobster fishing,411,Rock Lobster and Crab Potting
A041130,Rock lobster fishing,411,Rock Lobster and Crab Potting
A041210,Prawn fishing,412,Prawn Fishing
A041220,Scampi fishing,412,Prawn Fishing
A041310,Fishing - line fishing (including processing on board),413,Line Fishing
A041320,Line fishing,413,Line Fishing
A041330,Squid jigging (including processing on board),413,Line Fishing
A041403,Netting for finfish (including processing on board),414,"Fish Trawling, Seining and Netting"
A041407,Seining for finfish (including processing on board),414,"Fish Trawling, Seining and Netting"
A041410,Trawling for finfish (including processing on board),414,"Fish Trawling, Seining and Netting"
A041910,Abalone fishing,419,Other Fishing
A041920,"Diving for fish, shellfish",419,Other Fishing
A041930,Fishing - freshwater,419,Other Fishing
A041940,Fishing - marine nec,419,Other Fishing
A041950,Oyster fishing (except from cultivated oyster beds),419,Other Fishing
A041960,Paua fishing,419,Other Fishing
A041970,Seaweed - algae harvesting,419,Other Fishing
A041980,"Seaweed, shellfish, and other seafood hand gathering (not from a boat)",419,Other Fishing
A042010,Bird trapping,420,Hunting and Trapping
A042020,Culling of wild animals,420,Hunting and Trapping
A042030,Fur skin animal hunting or trapping,420,Hunting and Trapping
A042040,Hunting or trapping,420,Hunting and Trapping
A042050,Mutton bird catching,420,Hunting and Trapping
A042060,Possum hunting and trapping,420,Hunting and Trapping
A042070,Rabbit hunting and trapping,420,Hunting and Trapping
A051010,Forest chemical operation (ground),510,Forestry Support Services
A051020,Forest conservation services,510,Forestry Support Services
A051030,Forest nursery operation or service,510,Forestry Support Services
A051040,Forest planting,510,Forestry Support Services
A051050,Pest control service - forest - except aerial or wild animal control,510,Forestry Support Services
A051055,Reforestation services,510,Forestry Support Services
A051060,Silviculture (excluding tree cutting and felling),510,Forestry Support Services
A051070,Timber plantation maintenance,510,Forestry Support Services
A051080,Tree pruning - forest,510,Forestry Support Services
A051090,Tree thinning to waste,510,Forestry Support Services
A052210,Goat shearing,522,Shearing Services
A052220,Shearing services,522,Shearing Services
A052903,Aerial crop dusting or spraying,529,Other Agriculture and Fishing Support Services
A052907,Aerial fertiliser spreading,529,Other Agriculture and Fishing Support Services
A052910,Aerial mustering,529,Other Agriculture and Fishing Support Services
A052913,Aerial pest control,529,Other Agriculture and Fishing Support Services
A052917,Agricultural fencing contractor,529,Other Agriculture and Fishing Support Services
A052920,Agricultural services nec,529,Other Agriculture and Fishing Support Services
A052923,Artificial insemination service,529,Other Agriculture and Fishing Support Services
A052927,Branding services - animal,529,Other Agriculture and Fishing Support Services
A052930,Crop dusting service - aerial,529,Other Agriculture and Fishing Support Services
A052933,Crop harvesting service,529,Other Agriculture and Fishing Support Services
A052937,Dairy herd testing,529,Other Agriculture and Fishing Support Services
A052940,Dog training for farm work,529,Other Agriculture and Fishing Support Services
A052943,Farm irrigation service,529,Other Agriculture and Fishing Support Services
A052947,Farrier operation - horse shoeing (excluding farriers who manufacture horseshoes),529,Other Agriculture and Fishing Support Services
A052950,Fertiliser spreading - aerial,529,Other Agriculture and Fishing Support Services
A052953,Fertiliser spreading - except aerial,529,Other Agriculture and Fishing Support Services
A052955,Fishing support services nec,529,Other Agriculture and Fishing Support Services
A052957,Fruit picking,529,Other Agriculture and Fishing Support Services
A052960,"Hay cutting, baling or pressing",529,Other Agriculture and Fishing Support Services
A052963,Horticultural services nec,529,Other Agriculture and Fishing Support Services
A052964,Horse training (working horses),529,Other Agriculture and Fishing Support Services
A052965,Labour supply - horticulture workers,529,Other Agriculture and Fishing Support Services
A052967,Land clearing - bush or rural,529,Other Agriculture and Fishing Support Services
A052970,"Livestock dipping, drafting or droving",529,Other Agriculture and Fishing Support Services
A052973,Mustering - aerial,529,Other Agriculture and Fishing Support Services
A052977,Pest control service - aerial,529,Other Agriculture and Fishing Support Services
A052980,Pest control service - agricultural - except aerial or wild animal control,529,Other Agriculture and Fishing Support Services
A052983,Seed cleaning or grading,529,Other Agriculture and Fishing Support Services
A052987,Wool classing - except reclassing or bulk classing,529,Other Agriculture and Fishing Support Services
A052990,Wool handling (in conjunction with shearing),529,Other Agriculture and Fishing Support Services
A052993,Wool reclassing or bulk classing,529,Other Agriculture and Fishing Support Services
B060010,Coal mining - black coal - opencast,600,Coal Mining
B060020,Coal mining - black coal - underground,600,Coal Mining
B060030,Coal mining - brown coal - opencast,600,Coal Mining
B060040,Coal mining - brown coal - underground,600,Coal Mining
B060050,Peat cutting and packaging,600,Coal Mining
B070010,Gas - natural - extraction,700,Oil and Gas Extraction
B070020,Liquefied petroleum gas - production - except refinery,700,Oil and Gas Extraction
B070030,Oil and gas extraction,700,Oil and Gas Extraction
B070040,Oil shale mining,700,Oil and Gas Extraction
B080105,Iron ore dressing or beneficiating,801,Iron Ore Mining
B080110,Iron sand mining,801,Iron Ore Mining
B080410,Gold mining - dredging,804,Gold Ore Mining
B080420,Gold mining - opencast,804,Gold Ore Mining
B080430,Gold mining - reworking mullock heaps or tailings,804,Gold Ore Mining
B080440,Gold mining - underground,804,Gold Ore Mining
B080510,Sand mining - mineral,805,Mineral Sand Mining
B080710,Silver - lead - zinc ore mining,807,Silver-Lead-Zinc Ore Mining
B080720,Silver ore mining,807,Silver-Lead-Zinc Ore Mining
B080730,Zinc ore mining,807,Silver-Lead-Zinc Ore Mining
B080910,Iron pyrite mining,809,Other Metal Ore Mining
B080920,Metallic ore mining nec,809,Other Metal Ore Mining
B080930,Tin ore mining,809,Other Metal Ore Mining
B091110,"Gravel quarrying, washing or screening",911,Gravel and Sand Quarrying
B091120,Pebble quarrying,911,Gravel and Sand Quarrying
B091130,Rock gathering - ornamental,911,Gravel and Sand Quarrying
B091140,"Sand quarrying, washing or screening",911,Gravel and Sand Quarrying
B091910,Aggregate quarrying,919,Other Construction Material Mining
B091920,Clay quarrying,919,Other Construction Material Mining
B091930,"Construction material mining - except sand quarrying, washing or screening",919,Other Construction Material Mining
B091935,Construction materials crushing or screening,919,Other Construction Material Mining
B091940,Granite quarrying,919,Other Construction Material Mining
B091950,Limestone quarrying,919,Other Construction Material Mining
B091960,Marble quarrying,919,Other Construction Material Mining
B091970,Sandstone quarrying,919,Other Construction Material Mining
B091980,Slate quarrying,919,Other Construction Material Mining
B091990,Stone quarrying,919,Other Construction Material Mining
B099010,Gemstone mining,990,Other Non-Metallic Mineral Mining and Quarrying
B099020,Greenstone or jade mining,990,Other Non-Metallic Mineral Mining and Quarrying
B099030,Mining nec,990,Other Non-Metallic Mineral Mining and Quarrying
B099040,Quartz quarrying,990,Other Non-Metallic Mineral Mining and Quarrying
B099050,Salt harvesting,990,Other Non-Metallic Mineral Mining and Quarrying
B101110,Petroleum and natural gas exploration,1011,Petroleum Exploration
B101120,Petroleum and natural gas exploration services,1011,Petroleum Exploration
B101210,Mineral exploration - own account,1012,Mineral Exploration
B101220,Mineral exploration services,1012,Mineral Exploration
B109005,Drilling and blasting services to mines and quarries - except entire mining operation,1090,Other Mining Support Services
B109010,Oil and gas field services,1090,Other Mining Support Services
B109020,Other mining services,1090,Other Mining Support Services
B109030,Petroleum and natural gas drilling services,1090,Other Mining Support Services
C111110,Abattoir operation - except poultry,1111,Meat Processing
C111120,"Beefburgers, frozen or raw, manufacturing",1111,Meat Processing
C111130,"Bungs, caps or weasands manufacturing",1111,Meat Processing
C111140,Casings manufacturing,1111,Meat Processing
C111150,Gut materials manufacturing,1111,Meat Processing
C111160,Meat cutting and boning operation,1111,Meat Processing
C111170,Meat processing,1111,Meat Processing
C111180,"Meat, canned or dehydrated, manufacturing",1111,Meat Processing
C111190,Rendering plant operation (not in conjunction with an abattoir),1111,Meat Processing
C111210,Abattoir operation - poultry,1112,Poultry Processing
C111220,Croquette manufacturing (from poultry meat),1112,Poultry Processing
C111230,Game bird slaughtering,1112,Poultry Processing
C111240,Meal (poultry offal) manufacturing,1112,Poultry Processing
C111250,Poultry meat manufacturing - except canned,1112,Poultry Processing
C111260,Poultry packing,1112,Poultry Processing
C111270,Poultry processing,1112,Poultry Processing
C111310,"Bacon, ham, and smallgoods manufacturing",1113,Cured Meat and Smallgoods Manufacturing
C111320,Corned meat manufacturing (except canned),1113,Cured Meat and Smallgoods Manufacturing
C111330,Hamburgers manufacturing - precooked,1113,Cured Meat and Smallgoods Manufacturing
C111340,"Meat, cooked manufacturing - except poultry",1113,Cured Meat and Smallgoods Manufacturing
C111350,Pate manufacturing - except fish,1113,Cured Meat and Smallgoods Manufacturing
C111360,Sausages manufacturing - except canned,1113,Cured Meat and Smallgoods Manufacturing
C112010,Crustacean - processed manufacturing,1120,Seafood Processing
C112020,Fish cleaning or filleting,1120,Seafood Processing
C112025,"Fish cutting, skinning, freezing (other than on vessels)",1120,Seafood Processing
C112030,Fish manufacturing - canned,1120,Seafood Processing
C112035,Fish manufacturing - dried or smoked,1120,Seafood Processing
C112040,Fish packing house (licensed) operation,1120,Seafood Processing
C112045,Fish paste or pate manufacturing,1120,Seafood Processing
C112050,Oyster manufacturing - canned,1120,Seafood Processing
C112060,Seafood manufacturing - canned,1120,Seafood Processing
C112065,Seafood manufacturing - preserved,1120,Seafood Processing
C112070,Seafood processing (other than on vessels),1120,Seafood Processing
C112080,Shellfish opening,1120,Seafood Processing
C113110,Milk and cream processing,1131,Milk and Cream Processing
C113120,Milk receiving or distribution depot operation,1131,Milk and Cream Processing
C113210,Ice cream manufacturing,1132,Ice Cream Manufacturing
C113220,"Water ices or fruit ices, frozen, manufacturing",1132,Ice Cream Manufacturing
C113310,Baby foods manufacturing - milk based,1133,Cheese and Other Dairy Product Manufacturing
C113320,Butter manufacturing,1133,Cheese and Other Dairy Product Manufacturing
C113330,Cheese manufacturing,1133,Cheese and Other Dairy Product Manufacturing
C113340,Dairy products manufacturing nec,1133,Cheese and Other Dairy Product Manufacturing
C113350,Milk manufacturing - condensed or evaporated,1133,Cheese and Other Dairy Product Manufacturing
C113360,Milk powder manufacturing,1133,Cheese and Other Dairy Product Manufacturing
C113370,Milk products manufacturing nec,1133,Cheese and Other Dairy Product Manufacturing
C113380,Yoghurt manufacturing,1133,Cheese and Other Dairy Product Manufacturing
C114010,"Baby foods, canned or bottled manufacturing - except milk based",1140,Fruit and Vegetable Processing
C114015,Baked beans manufacturing,1140,Fruit and Vegetable Processing
C114020,Chutneys or relishes manufacturing,1140,Fruit and Vegetable Processing
C114025,Frozen fruit or vegetable manufacturing,1140,Fruit and Vegetable Processing
C114030,Fruit canning or bottling,1140,Fruit and Vegetable Processing
C114035,Fruit drying - except sun drying,1140,Fruit and Vegetable Processing
C114040,"Fruit juices, single strength or concentrated",1140,Fruit and Vegetable Processing
C114045,Fruit manufacturing - frozen,1140,Fruit and Vegetable Processing
C114050,Fruit pulp manufacturing - puree or spreads,1140,Fruit and Vegetable Processing
C114055,"Jam manufacturing - including conserves, jellies or fruit spreads",1140,Fruit and Vegetable Processing
C114060,Rice preparations manufacturing - canned,1140,Fruit and Vegetable Processing
C114065,Sauces manufacturing,1140,Fruit and Vegetable Processing
C114070,Soup manufacturing,1140,Fruit and Vegetable Processing
C114075,Spaghetti manufacturing - canned,1140,Fruit and Vegetable Processing
C114080,Vegetable juices or soups manufacturing,1140,Fruit and Vegetable Processing
C114085,Vegetable manufacturing - preserved,1140,Fruit and Vegetable Processing
C114090,Vinegar manufacturing (except wine vinegar),1140,Fruit and Vegetable Processing
C115010,Cooking oil filtration and recycling,1150,Oil and Fat Manufacturing
C115020,Margarine manufacturing,1150,Oil and Fat Manufacturing
C115030,Oil and fat manufacturing,1150,Oil and Fat Manufacturing
C115040,Tallow manufacturing,1150,Oil and Fat Manufacturing
C115050,"Vegetable oil, meal or cake manufacturing",1150,Oil and Fat Manufacturing
C116110,Flour manufacturing - wheat - except self-raising flour,1161,Grain Mill Product Manufacturing
C116120,Flour manufacturing - wheat - self-raising flour,1161,Grain Mill Product Manufacturing
C116130,Flour mill product manufacturing,1161,Grain Mill Product Manufacturing
C116135,Grain product manufacturing nec,1161,Grain Mill Product Manufacturing
C116140,Malt extract manufacturing,1161,Grain Mill Product Manufacturing
C116150,Malt manufacturing - except malt extract,1161,Grain Mill Product Manufacturing
C116160,Rice manufacturing,1161,Grain Mill Product Manufacturing
C116170,Self-raising flour manufacturing,1161,Grain Mill Product Manufacturing
C116210,Baking mix manufacturing,1162,"Cereal, Pasta and Baking Mix Manufacturing"
C116220,Cereal foods manufacturing,1162,"Cereal, Pasta and Baking Mix Manufacturing"
C116230,Oatmeal manufacturing,1162,"Cereal, Pasta and Baking Mix Manufacturing"
C116240,Pasta manufacturing,1162,"Cereal, Pasta and Baking Mix Manufacturing"
C117110,Bakery for bread etc manufacturing - except those selling directly to public,1171,Bread Manufacturing (Factory based)
C117120,Bread bakery operation - except those selling direct to public,1171,Bread Manufacturing (Factory based)
C117125,Bread manufacturing (factory-based),1171,Bread Manufacturing (Factory based)
C117130,Unleavened bread manufacturing,1171,Bread Manufacturing (Factory based)
C117205,Cake and pastry manufacturing (factory-based),1172,Cake and Pastry Manufacturing (Factory based)
C117210,Cake icing or decorating,1172,Cake and Pastry Manufacturing (Factory based)
C117220,Cake or pastry manufacturing - except those selling direct to public,1172,Cake and Pastry Manufacturing (Factory based)
C117230,Crumpet manufacturing,1172,Cake and Pastry Manufacturing (Factory based)
C117240,Doughnut manufacturing,1172,Cake and Pastry Manufacturing (Factory based)
C117250,Pastry dough manufacturing - frozen,1172,Cake and Pastry Manufacturing (Factory based)
C117260,Pastry manufacturing - except frozen pastry dough,1172,Cake and Pastry Manufacturing (Factory based)
C117270,"Pie, pastry, sausage roll manufacturing",1172,Cake and Pastry Manufacturing (Factory based)
C117280,Plum pudding manufacturing,1172,Cake and Pastry Manufacturing (Factory based)
C117310,Biscuit manufacturing,1173,Biscuit Manufacturing (Factory based)
C117320,Ice cream cone or wafer manufacturing,1173,Biscuit Manufacturing (Factory based)
C117410,Bakery and hot bread shop,1174,Bakery Product Manufacturing (Non-factory based)
C117420,Bakery retailing (with on-site baking),1174,Bakery Product Manufacturing (Non-factory based)
C118110,Sugar manufacturing,1181,Sugar Manufacturing
C118210,Chocolate manufacturing,1182,Confectionery Manufacturing
C118220,Confectionery manufacturing,1182,Confectionery Manufacturing
C118230,Crystallised or glace fruit or peel manufacturing,1182,Confectionery Manufacturing
C118240,Nuts manufacturing - candied,1182,Confectionery Manufacturing
C119110,Potato crisp and corn chip manufacturing,1191,"Potato, Corn and Other Crisp Manufacturing"
C119210,Animal food manufacturing,1192,Prepared Animal and Bird Feed Manufacturing
C119220,Bird feed manufacturing,1192,Prepared Animal and Bird Feed Manufacturing
C119230,Cattle or sheep lick manufacturing,1192,Prepared Animal and Bird Feed Manufacturing
C119240,Fodder manufacturing - prepared,1192,Prepared Animal and Bird Feed Manufacturing
C119250,Pet food manufacturing - canned,1192,Prepared Animal and Bird Feed Manufacturing
C119260,Poultry feed manufacturing - prepared,1192,Prepared Animal and Bird Feed Manufacturing
C119910,Coffee manufacturing,1199,Other Food Product Manufacturing n.e.c.
C119915,Flavouring manufacturing - food,1199,Other Food Product Manufacturing n.e.c.
C119920,Food dressing manufacturing,1199,Other Food Product Manufacturing n.e.c.
C119925,Food manufacturing nec,1199,Other Food Product Manufacturing n.e.c.
C119930,Herb manufacturing - processed,1199,Other Food Product Manufacturing n.e.c.
C119935,Honey manufacturing - blended,1199,Other Food Product Manufacturing n.e.c.
C119940,Jelly crystals manufacturing,1199,Other Food Product Manufacturing n.e.c.
C119945,Pre-prepared meals manufacturing nec,1199,Other Food Product Manufacturing n.e.c.
C119950,Rice preparations manufacturing nec,1199,Other Food Product Manufacturing n.e.c.
C119955,Salt manufacturing - cooking or table,1199,Other Food Product Manufacturing n.e.c.
C119960,Seasoning manufacturing - food,1199,Other Food Product Manufacturing n.e.c.
C119965,Spice manufacturing,1199,Other Food Product Manufacturing n.e.c.
C119970,Sushi and sashimi manufacturing,1199,Other Food Product Manufacturing n.e.c.
C119975,Tea manufacturing,1199,Other Food Product Manufacturing n.e.c.
C121110,Cordial manufacturing,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121120,Fruit juice or fruit juice drink manufacturing - less than single strength,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121130,Ice manufacturing - except dry ice,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121140,Mineral water manufacturing,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121150,Soft drink manufacturing,1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121160,"Soft drink mix, powdered, manufacturing",1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121170,"Syrup manufacturing - chocolate, caramel or vanilla",1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121180,"Syrup, fruit, manufacturing",1211,"Soft Drink, Cordial and Syrup Manufacturing"
C121210,Beer manufacturing,1212,Beer Manufacturing
C121220,Breweries,1212,Beer Manufacturing
C121310,Liqueur manufacturing,1213,Spirit Manufacturing
C121320,Spirit based mixed drink manufacturing,1213,Spirit Manufacturing
C121330,"Spirits, potable manufacturing",1213,Spirit Manufacturing
C121410,Cider manufacturing,1214,Wine and Other Alcoholic Beverage Manufacturing
C121420,Mead manufacturing,1214,Wine and Other Alcoholic Beverage Manufacturing
C121430,Sparkling wine manufacturing,1214,Wine and Other Alcoholic Beverage Manufacturing
C121440,"Vinegar, wine, manufacturing",1214,Wine and Other Alcoholic Beverage Manufacturing
C121450,Wine manufacturing,1214,Wine and Other Alcoholic Beverage Manufacturing
C121460,"Wine-based fruit drink ""coolers"" manufacturing",1214,Wine and Other Alcoholic Beverage Manufacturing
C122010,Cigarette manufacturing,1220,Cigarette and Tobacco Product Manufacturing
C122020,Tobacco manufacturing,1220,Cigarette and Tobacco Product Manufacturing
C131110,Lanolin manufacturing,1311,Wool Scouring
C131120,Wool manufacturing - carded or combed,1311,Wool Scouring
C131130,Wool scouring,1311,Wool Scouring
C131210,Cotton textile manufacturing,1312,Natural Textile Manufacturing
C131220,Fabric manufacturing - cotton,1312,Natural Textile Manufacturing
C131230,Fabric manufacturing - wool,1312,Natural Textile Manufacturing
C131235,Natural textile manufacturing nec,1312,Natural Textile Manufacturing
C131240,Wool textile manufacturing,1312,Natural Textile Manufacturing
C131250,"Yarn manufacturing - cotton, flax or silk",1312,Natural Textile Manufacturing
C131260,Yarn manufacturing - wool,1312,Natural Textile Manufacturing
C131310,Fabric manufacturing - synthetic,1313,Synthetic Textile Manufacturing
C131320,Fibreglass fabric manufacturing,1313,Synthetic Textile Manufacturing
C131330,Synthetic fibre textile manufacturing,1313,Synthetic Textile Manufacturing
C131340,Yarn manufacturing - elastic or elastomeric,1313,Synthetic Textile Manufacturing
C132010,Bag manufacturing - leather or leather substitute,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132020,Fellmongery,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132030,Handbag manufacturing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132040,Harness manufacturing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132050,Leather manufacturing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132060,Leather or leather substitute goods manufacturing nec,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132070,Leather tanning and fur dressing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132080,Saddle manufacturing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C132090,Suitcase manufacturing,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C133110,"Carpet, rug manufacturing",1331,Textile Floor Covering Manufacturing
C133120,Floor covering manufacturing - textile,1331,Textile Floor Covering Manufacturing
C133210,Cord and twine manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C133220,Fish net manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C133230,Net and netting manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C133240,Rope manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C133250,String manufacturing,1332,"Rope, Cordage and Twine Manufacturing"
C133310,Awning manufacturing - textile,1333,Cut and Sewn Textile Product Manufacturing
C133315,Bag or sack manufacturing - textile,1333,Cut and Sewn Textile Product Manufacturing
C133320,Blanket manufacturing - cotton,1333,Cut and Sewn Textile Product Manufacturing
C133325,Blanket manufacturing - synthetic,1333,Cut and Sewn Textile Product Manufacturing
C133330,Blanket manufacturing - wool,1333,Cut and Sewn Textile Product Manufacturing
C133335,Blind manufacturing - textile,1333,Cut and Sewn Textile Product Manufacturing
C133340,Canvas goods manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133345,Curtain making,1333,Cut and Sewn Textile Product Manufacturing
C133350,Flag or banner manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133355,Motor vehicle covers manufacturing - textile,1333,Cut and Sewn Textile Product Manufacturing
C133360,Parachute manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133365,Pillow or cushion manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133370,Rug manufacturing - animal,1333,Cut and Sewn Textile Product Manufacturing
C133375,Sail manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133380,Seat cover manufacturing - textile,1333,Cut and Sewn Textile Product Manufacturing
